iter	RMSE
125	116.373052
126	116.1483531
127	116.0313127
128	115.8090296
129	115.5719261
130	115.3672697
131	115.1818977
132	115.066114
133	114.7936797
134	114.5924104
135	114.3180538
136	114.2131085
137	113.9582937
138	113.8011579
139	113.6276293
140	113.505021
141	113.3672033
142	113.1703142
143	113.11203
144	112.8564005
145	112.6571892
146	112.5696084
147	112.3566581
148	112.2812834
149	112.0554601
150	111.9260111
151	111.7402932
152	111.5934362
153	111.4580653
154	111.3715477
155	111.2639921
156	111.1160442
157	110.952382
158	110.7994527
159	110.6783196
160	110.5028213
161	110.3752099
162	110.2277979
163	110.0680005
164	109.8343195
165	109.7105414
166	109.5683045
167	109.4085861
168	109.221303
169	109.0422212
170	108.9820399
171	108.917269
172	108.8317039
173	108.7200502
174	108.5238079
175	108.3982861
176	108.2588392
177	108.0882391
178	107.9284903
179	107.8065731
180	107.7314818
181	107.4878455
182	107.4175654
183	107.3282443
184	107.1763281
185	107.0560086
186	106.9128217
187	106.7697567
188	106.6599079
189	106.5508414
190	106.4318856
191	106.3035429
192	106.1573442
193	106.0296289
194	105.9629513
195	105.7331961
196	105.6536065
197	105.5488261
198	105.4499926
199	105.3513919
200	105.2990987
201	105.1702001
202	105.0934212
203	104.9804629
204	104.8545973
205	104.7413839
206	104.547609
207	104.449768
208	104.3331236
209	104.2866192
210	104.1918947
211	104.1164298
212	104.0372966
213	103.980311
214	103.8425668
215	103.7637935
216	103.5949613
217	103.4354805
218	103.3702059
219	103.2876908
220	103.2223488
221	103.1810734
222	103.1051007
223	102.9965546
224	102.8463062
225	102.7397943
226	102.6662932
227	102.6251612
228	102.4531449
229	102.3212793
230	102.1840863
231	102.0936227
232	102.0440526
233	101.9582437
234	101.8746982
235	101.8453031
236	101.7263194
237	101.6420167
238	101.5623043
239	101.4311844
240	101.3795368
241	101.227029
242	101.1193342
243	101.0596162
244	101.0038488
245	100.9040735
246	100.8331196
247	100.7290248
248	100.6815006
249	100.5749121
250	100.4624292
251	100.3884903
252	100.288444
253	100.2373081
254	100.1871861
255	100.0814718
256	99.95949772
257	99.8842834
258	99.78046185
259	99.69428533
260	99.58575998
261	99.53264279
262	99.49915404
263	99.33489772
264	99.24689568
265	99.21229846
266	99.15911259
267	99.03501285
268	98.95843394
269	98.93430891
270	98.85120235
271	98.76407684
272	98.66987637
273	98.60074398
274	98.49167698
275	98.34915267
276	98.28273225
277	98.20515708
278	98.17813666
279	98.05829671
280	97.98129867
281	97.92856296
282	97.88427546
283	97.80432304
284	97.73989491
285	97.64907741
286	97.59525393
287	97.5409121
288	97.45012267
289	97.32708439
290	97.26299948
291	97.1940803
292	97.09912456
293	97.0356667
294	96.97658385
295	96.95747221
296	96.92779171
297	96.68679042
298	96.63839769
299	96.55602142
300	96.47221192
301	96.41700696
302	96.37732305
303	96.18868365
304	96.06304893
305	95.99372607
306	95.91921753
307	95.84713619
308	95.81511657
309	95.73103997
310	95.68492537
311	95.60717783
312	95.55065298
313	95.46796644
314	95.38341497
315	95.32820708
316	95.29409291
317	95.21763318
318	95.15691547
319	95.08139391
320	94.98367813
321	94.93526636
322	94.84062295
323	94.8069264
324	94.73640409
325	94.66527935
326	94.63041966
327	94.46510941
328	94.37640311
329	94.29568564
330	94.24821161
331	94.19559255
332	94.1139419
333	94.09882815
334	94.0749151
335	94.02932735
336	93.97099906
337	93.90694525
338	93.81522561
339	93.74914303
340	93.69886909
341	93.61179928
342	93.51872151
343	93.46982376
344	93.41033575
345	93.334931
346	93.22363845
347	93.15205159
348	93.10084265
349	93.02005794
350	92.96963847
351	92.86522354
352	92.79080096
353	92.77788201
354	92.75199626
355	92.66334202
356	92.61382825
357	92.54477732
358	92.50486501
359	92.42124559
360	92.34659593
361	92.20456629
362	92.12342096
363	92.0256089
364	91.95975622
365	91.9161051
366	91.84951624
367	91.82829231
368	91.74990339
369	91.71429742
370	91.67227864
371	91.62277293
372	91.50903001
373	91.48090633
374	91.43974505
375	91.41844793
376	91.35737835
377	91.26439127
378	91.20922771
379	91.10944821
380	91.05828353
381	91.00888538
382	90.96029972
383	90.89857109
384	90.84079817
385	90.78627102
386	90.74630343
387	90.67901067
388	90.62985201
389	90.60376447
390	90.56692522
391	90.49159981
392	90.4390959
393	90.37809633
394	90.33087829
395	90.19060039
396	90.14815732
397	90.07271688
398	90.02931966
399	89.99313536
400	89.95498798
401	89.92959079
402	89.88094897
403	89.8052918
404	89.76985758
405	89.76015608
406	89.56140989
407	89.51552044
408	89.3436
409	89.28041373
410	89.24973312
411	89.19344035
412	89.16308038
413	89.05402382
414	89.0094683
415	88.95203117
416	88.88003257
417	88.82984929
418	88.78197327
419	88.66897679
420	88.62899623
421	88.54516593
422	88.50128886
423	88.48020149
424	88.41837371
425	88.36840705
426	88.32172844
427	88.31354252
428	88.27499876
429	88.25017464
430	88.15387064
431	88.11686302
432	88.07417058
433	88.03942056
434	87.93260545
435	87.90501826
436	87.82914461
437	87.80407312
438	87.76075452
439	87.73851643
440	87.58949433
441	87.53232355
442	87.51204063
443	87.4784317
444	87.41484478
445	87.31752389
446	87.26103016
447	87.21659572
448	87.18288087
449	87.15569552
450	87.12565229
451	87.05908716
452	86.98151944
453	86.93209643
454	86.88933901
455	86.84702572
456	86.76700688
457	86.7133787
458	86.67135735
459	86.62518423
460	86.57327608
461	86.55039736
462	86.49620467
463	86.47844158
464	86.44040291
465	86.40103223
466	86.3627862
467	86.32908664
468	86.29370041
469	86.25642779
470	86.22333374
471	86.17933317
472	86.13812031
473	86.09766514
474	86.05751255
475	85.99206322
476	85.90867111
477	85.83618296
478	85.8038653
479	85.75778982
480	85.72293175
481	85.71607925
482	85.65858016
483	85.6288403
484	85.5660054
485	85.54032756
486	85.53235895
487	85.51086596
488	85.48561741
489	85.44560171
490	85.41823433
491	85.37983536
492	85.30788032
493	85.28619873
494	85.26182209
495	85.18220535
496	85.15219428
497	85.11045074
498	85.07196609
499	85.03093302
